usi_id;ano_apur;mes_apur;val_teifames;val_teipmes;val_teifaacum;val_teipacum;val_teifacum;val_teifmes;flg_usibtx;val_teifamesajus;val_teipmesajus;val_teifaacumajus;val_teipacumajus;val_teifamesfc;val_teipmesfc;val_teifaacumfc;val_teipacumfc;val_teipacumfc;flg_parcleilao;val_numteifames;val_denteifames;val_numteipmes;val_denteipmes;val_numteifamesfc;val_denteifamesfc;val_numteipmesfc;val_denteipmesfc
ALUXG;2012;2;0,003857895;0,036462329;0,0326184;0,01570341;0,03581145;0,004369754;N;;;;;;;;;;;;;;;;;;
ALUXG;2012;3;0,01473334;0,034322731;0,03286396;0,01455341;0,03605748;0,01476235;N;;;;;;;;;;;;;;;;;;
ALUXG;2012;4;0,000648148;0,000574846;0,032867879;0,01450666;0,036061261;0,000648148;N;;;;;;;;;;;;;;;;;;
ALUXG;2012;5;0;0,001232079;0,032867879;0,01449789;0,036061261;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2012;6;0;0;0,032777451;0,01446882;0,035970341;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2012;7;0,001373955;0;0,03280035;0,01443603;0,03599539;0,001502961;N;;;;;;;;;;;;;;;;;;
ALUXG;2012;8;0,01223439;0,033557352;0,033004262;0,01485768;0,036201701;0,01237836;N;;;;;;;;;;;;;;;;;;
ALUXG;2012;9;0;0,01541281;0,033004262;0,01507836;0,036201701;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2012;10;0,00453462;0,000742981;0,033079829;0,01507487;0,036279678;0,004678845;N;;;;;;;;;;;;;;;;;;
ALUXG;2012;11;0;0,020262349;0,033063799;0,01540878;0,036263641;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2012;12;0,00047043;0;0,033071641;0,01534345;0,036272459;0,000528939;N;;;;;;;;;;;;;;;;;;
ALUXG;2013;1;0,000212814;0;0,033062931;0,01505828;0,036244679;0,000230236;N;;;;;;;;;;;;;;;;;;
ALUXG;2013;2;0;0,028195269;0,033013191;0,014991;0,033771079;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2013;3;0;0,148760498;0,03014151;0,01650179;0,03057923;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2013;4;0,000720825;0,03249228;0,023453141;0,0169807;0,02439191;0,030784311;N;;;;;;;;;;;;;;;;;;
ALUXG;2013;5;0,004730436;0,002897252;0,019046171;0,016989989;0,02013048;0,01346261;N;;;;;;;;;;;;;;;;;;
ALUXG;2013;6;0,000902778;0;0,01627443;0,01618476;0,017360991;0,00113247;N;;;;;;;;;;;;;;;;;;
ALUXG;2013;7;0;0;0,01349665;0,015636729;0,014583211;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2013;8;0,000612306;0;0,01220701;0,01532938;0,01330572;0,001341187;N;;;;;;;;;;;;;;;;;;
ALUXG;2013;9;0,01839892;0;0,0125119;0,01506837;0,01507396;0,106204301;N;;;;;;;;;;;;;;;;;;
ALUXG;2013;10;0;0,007381272;0,0125119;0,01519139;0,01507396;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2013;11;0;0,01702161;0,01250521;0,01547463;0,01506711;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2013;12;0,000145609;0,006791368;0,01250763;0,01555659;0,01506954;0,000145616;N;;;;;;;;;;;;;;;;;;
ALUXG;2014;1;0;0;0,01250763;0,01552087;0,01506954;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2014;2;0;0,000570436;0,01250763;0,01553037;0,01506954;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2014;3;0;0,003778375;0,01250763;0,01359041;0,01506954;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2014;4;3,86E-06;0,00859182;0,0125077;0,01361189;0,0150696;4,06E-06;N;;;;;;;;;;;;;;;;;;
ALUXG;2014;5;0,018750001;0,146759301;0,01281895;0,016025269;0,015677851;0,036569379;N;;;;;;;;;;;;;;;;;;
ALUXG;2014;6;0,166666701;0,002102623;0,01554799;0,01605317;0,01840483;0,166666701;N;;;;;;;;;;;;;;;;;;
ALUXG;2014;7;0,166666701;0,074514628;0,01832577;0,01725582;0,02118261;0,166666701;N;;;;;;;;;;;;;;;;;;
ALUXG;2014;8;0,166666701;0,082336463;0,021099661;0,018476199;0,023956001;0,166666701;N;;;;;;;;;;;;;;;;;;
ALUXG;2014;9;0,170603499;0,004135802;0,02394305;0,01854513;0,02733295;0,202616602;N;;;;;;;;;;;;;;;;;;
